"","country","name","pvalue","x.l1","x.l2","x.l3"
"22","US","family_benefit",0.687874195617794,-0.0548558867572671,0.0686719177454277,-0.0596218244420029
"23","MX","family_benefit",0.838275491830784,-0.00742085572661623,0.00928982687377621,-0.00826526496192296
"24","CL","family_benefit",0.823254058851362,-0.00921246674837141,0.00723219004153675,-0.00392924168581837
"25","CZ","family_benefit",0.849939997211053,0.041980159767635,-0.00964629895420327,-0.0599020348209876
"26","IS","family_benefit",0.143036148569383,0.125498089115203,-0.031621174533389,-0.125413684671364
"27","KR","family_benefit",0.105660293000317,0.256247712125621,-0.000587347302027357,-0.302102240137675
"28","PL","family_benefit",0.457823240157749,0.0650777370078327,-0.0584961289176348,0.0125581541327491
"29","CR","family_benefit",0.0206699079513255,-0.211586434882253,0.031179240123254,0.0858418178375188
"30","IL","family_benefit",0.136620532843911,0.051206559631387,-0.0376906077325794,-0.0907092522373399
"31","LV","family_benefit",0.241650544680414,-0.10322017549574,0.0514838833187158,0.00903649045886519
"32","SK","family_benefit",0.257940208123599,-0.0437231092314491,-0.0739258524171538,-0.00775144128929976
"33","LT","family_benefit",0.445681758984363,0.00325537873063242,0.00548994911018422,0.0246346546756403
"34","SI","family_benefit",0.0781919931493415,-0.237940388880141,0.111686128351716,-0.00194691570623649
"35","EE","family_benefit",0.958297832407041,0.00364900401999385,-0.0208095613336725,-0.000580430196753343
"36","HU","family_benefit",0.0460228935088789,-0.206911525234913,0.173901016436168,-0.0236582047921189
"37","CO","family_benefit",0.0127812955912495,-0.0643533295156023,0.0381576274261879,-0.00546804256174558
"38","AT","net_migration",0.398438752740281,0.0268404459891934,-0.054557048954444,0.0266274930298342
"39","AU","net_migration",1.03250648278972e-05,0.0436714218008706,-0.0319038247188406,-0.0123354992218678
"40","BE","net_migration",0.66741123675433,-0.0070645026594123,0.0373260666306444,-0.0317911338976872
"41","CA","net_migration",0.80603046752593,0.0135084493600379,-0.0153662379206412,0.00212307899002896
"42","CH","net_migration",0.807134348027408,0.00495220990892018,-0.00538794588810306,1.41427382569299e-05
"43","DE","net_migration",0.807534407191836,0.00282829177616215,0.00269972901518467,-0.0082974646262328
"44","DK","net_migration",0.563836477390315,0.101118503799117,-0.136692359098393,0.0347453861180935
"45","ES","net_migration",0.8863947061211,-0.00626221352893432,0.0144174533291515,-0.00915348338543812
"46","FI","net_migration",0.824075219886679,0.0152436439522267,-0.0296076121345041,0.0125971895862439
"47","FR","net_migration",0.0779647754275534,0.0627753902416302,-0.0870646755081352,0.0601134215626174
"48","GB","net_migration",0.550862713916805,-0.0304767251654565,0.0716957275381734,-0.0425625911141288
"49","GR","net_migration",0.466049905207173,-0.00576542951124739,0.0143138622708405,-0.0111874429041533
"50","IE","net_migration",0.388478199468076,-0.00758982432956857,0.0224531568270052,-0.0156401850485114
"51","IT","net_migration",0.920111041487626,0.00675870814912945,-0.0101625917554917,0.00213728341767803
"52","JP","net_migration",0.00362536443916149,0.442398998727581,-0.564383104874634,0.133236371423953
"53","LU","net_migration",0.166328348286767,-0.0241398598086133,0.0521248348746455,-0.0309644021748378
"54","NL","net_migration",0.868559811853683,-0.0468512991288564,0.0575947666258963,-0.0104044867825573
"55","NO","net_migration",0.44618394188776,0.0246160449932713,-0.0498574584078955,0.0215956048978587
"56","PT","net_migration",0.214016804824222,-0.00384225632741038,0.00853737826648143,-0.0088312172317632
"57","SE","net_migration",0.44652150967199,0.0215822428264251,-0.0198469104749523,-0.00711188593775022
"58","TR","net_migration",0.958761104129502,0.036328597453898,-0.0477804832094543,0.0081243953821754
"59","US","net_migration",0.438983859577513,-0.0174407627598952,0.0319721191912852,-0.00468189235050493
"60","MX","net_migration",0.757231617864534,0.00308399901690178,-0.00343199594518052,0.00164086718800053
"61","CL","net_migration",0.0215762047090936,0.00971127484802551,-0.0126686383668168,NA
"62","CZ","net_migration",0.34560080761948,-0.0259297791151513,0.0109903552380941,0.00301141715761546
"63","IS","net_migration",0.906022088162991,-0.00607978539252501,0.0217532835627875,-0.0173705748841848
"64","KR","net_migration",0.426848365390102,0.157034386246115,-0.300558862187649,0.168288459346564
"65","PL","net_migration",0.133343321293254,-0.114426329604924,0.105289922630268,NA
"66","CR","net_migration",0.223692823521451,0.0174213080347583,-0.0366417762070519,0.018409957013326
"67","IL","net_migration",0.381395660297777,0.0128687777187815,-0.0233745587761148,0.0144195681559997
"68","LV","net_migration",0.213391731832232,0.0151554252410593,-0.00643060826243484,-0.00541452921116856
"69","SK","net_migration",0.972438489645925,-0.0153326034677243,0.0173148211656476,0.000736559005638887
"70","LT","net_migration",0.106480781296443,0.0247504058316281,-0.00917978510484636,-0.0163458988364659
"71","SI","net_migration",0.30996641313396,0.00461665194610785,-0.00886852311168277,NA
"72","EE","net_migration",0.138727605203159,-0.00272815611410579,0.00860046975981994,0.000635008950181248
"73","HU","net_migration",0.403979470918845,-0.0620114476796776,0.0799920748068347,-0.034686218798374
"74","CO","net_migration",0.715204660412688,0.00887528897298276,-0.0120020203702718,0.00122235020431989
"75","AT","NY.GDP.PCAP.CD",0.915858404334972,1.47031052657719e-06,-8.65483279500634e-07,-5.19015188515857e-07
"76","AU","NY.GDP.PCAP.CD",0.740530436303418,6.4463978803457e-07,-9.89264537023046e-07,NA
"77","BE","NY.GDP.PCAP.CD",0.411117344093707,3.15111921829933e-06,-3.09901305583385e-06,NA
